id,name,genre,external_url,image_url,polularity,followers
13rF01aOogvnkuQXOlgTW8,TAEMIN,['k-pop'],https://open.spotify.com/artist/13rF01aOogvnkuQXOlgTW8,https://i.scdn.co/image/ab6761610000e5ebb99713cdd2a68b0db306aad6,59,2690087
5R7AMwDeroq6Ls0COQYpS4,Kep1er,['k-pop'],https://open.spotify.com/artist/5R7AMwDeroq6Ls0COQYpS4,https://i.scdn.co/image/ab6761610000e5eb09b55f42dcb8086e37b084a8,62,1158439
3ZZzT0naD25RhY2uZvIKkJ,EVERGLOW,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/3ZZzT0naD25RhY2uZvIKkJ,https://i.scdn.co/image/ab6761610000e5eb63cc88daba8709af04c3d6ed,60,1791967
5r1tUTxVSgvBHnoDuDODPH,IZ*ONE,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/5r1tUTxVSgvBHnoDuDODPH,https://i.scdn.co/image/ab6761610000e5eba6b0d348c125a072e5284b3e,61,1810198
2e4G04F77jxVuDYo44TCSm,Loco,"['k-pop', 'k-rap', 'korean r&b']",https://open.spotify.com/artist/2e4G04F77jxVuDYo44TCSm,https://i.scdn.co/image/ab6761610000e5eb29971b8d9d19fef176338e4a,60,380961
3eVa5w3URK5duf6eyVDbu9,ROSÉ,['k-pop'],https://open.spotify.com/artist/3eVa5w3URK5duf6eyVDbu9,https://i.scdn.co/image/ab6761610000e5ebd2d167f018561742f26a0997,66,3964224
4k5fFEYgkWYrYvtOK3zVBl,BOL4,['k-pop'],https://open.spotify.com/artist/4k5fFEYgkWYrYvtOK3zVBl,https://i.scdn.co/image/ab6761610000e5ebfdb9292f006730a215b7bfcc,63,1749074
1uAT5bTSp6dWbNmixIUP5t,BSS,['k-pop'],https://open.spotify.com/artist/1uAT5bTSp6dWbNmixIUP5t,https://i.scdn.co/image/ab6761610000e5ebe486a809eaee9b2d85846dae,62,302704
6MoXcK2GyGg7FIyxPU5yW6,SUNMI,['k-pop'],https://open.spotify.com/artist/6MoXcK2GyGg7FIyxPU5yW6,https://i.scdn.co/image/ab6761610000e5eb4a29246fa242d0b9f8de3b31,59,2613869
0UntV1Bw2hk3fbRrm9eMP6,B.I,['k-pop'],https://open.spotify.com/artist/0UntV1Bw2hk3fbRrm9eMP6,https://i.scdn.co/image/ab6761610000e5ebd9ce6b84393575f91c4f4634,61,650898
64k5e9kV9MdukXjFrR5R37,Jessi,['k-pop'],https://open.spotify.com/artist/64k5e9kV9MdukXjFrR5R37,https://i.scdn.co/image/ab6761610000e5ebbe76c66001c8d4973f992208,61,1707922
6y9nlaoynxSvoTGY09Vdcy,WOODZ,"['k-pop', 'korean r&b']",https://open.spotify.com/artist/6y9nlaoynxSvoTGY09Vdcy,https://i.scdn.co/image/ab6761610000e5ebfcc48cc2ee03cde91920d0c0,59,701230
2JhAlkmukNvarUpGhTFXUQ,KARD,['k-pop'],https://open.spotify.com/artist/2JhAlkmukNvarUpGhTFXUQ,https://i.scdn.co/image/ab6761610000e5eb0124ae71378c204c4634cd40,58,1762409
3CVYSpM7nfHFG5qCTW7Ht9,ONEUS,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/3CVYSpM7nfHFG5qCTW7Ht9,https://i.scdn.co/image/ab6761610000e5eb8162ce227fb3f8159822aab0,57,849268
0tzSBCPJZmHTdOA3ZV2mN3,CL,['k-pop'],https://open.spotify.com/artist/0tzSBCPJZmHTdOA3ZV2mN3,https://i.scdn.co/image/ab6761610000e5ebc67fe879798c208fcf056dde,57,1125717
0qlWcS66ohOIi0M8JZwPft,GFRIEND,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/0qlWcS66ohOIi0M8JZwPft,https://i.scdn.co/image/ab6761610000e5ebd0701912e6fccf8427bc7361,60,1516598
5snNHNlYT2UrtZo5HCJkiw,Epik High,"['k-pop', 'k-rap', 'korean old school hip hop']",https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw,https://i.scdn.co/image/ab6761610000e5ebe6e2740a63438eda3928f753,56,699907
2QM5S4yO6xHgnNvF0nbZZq,SEULGI,['k-pop'],https://open.spotify.com/artist/2QM5S4yO6xHgnNvF0nbZZq,https://i.scdn.co/image/ab6761610000e5ebde8ad216e0ff7a76573c835e,57,911011
24nUVBIlCGi4twz4nYxJum,fromis_9,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/24nUVBIlCGi4twz4nYxJum,https://i.scdn.co/image/ab6761610000e5ebcae99c0bae2247ad4cb0c904,56,1024991
5HenzRvMtSrgtvU16XAoby,Zion.T,"['k-pop', 'k-rap', 'korean r&b']",https://open.spotify.com/artist/5HenzRvMtSrgtvU16XAoby,https://i.scdn.co/image/ab6761610000e5eb5c9eb01fd34c0a998913ae60,56,567823
2GQxKDojobwBjZMPf7aoh0,Billlie,['k-pop'],https://open.spotify.com/artist/2GQxKDojobwBjZMPf7aoh0,https://i.scdn.co/image/ab6761610000e5eb7a1644d7f1d5da83403a627a,56,428812
4BBN286rBKyCWsSPq2cxYO,Sam Kim,"['k-pop', 'korean r&b']",https://open.spotify.com/artist/4BBN286rBKyCWsSPq2cxYO,https://i.scdn.co/image/ab6761610000e5eb18c434d49d7d2f82199fde6d,58,425713
4pz4uzOMpJQyV8UTsDy4H8,ASTRO,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/4pz4uzOMpJQyV8UTsDy4H8,https://i.scdn.co/image/ab6761610000e5eb6034058cfde0084f922bb284,60,1898730
30b9WulBM8sFuBo17nNq9c,G-DRAGON,"['k-pop', 'k-rap']",https://open.spotify.com/artist/30b9WulBM8sFuBo17nNq9c,https://i.scdn.co/image/ab6761610000e5eb5923c0ca32a3cf3a81b34728,59,2901859
250b0Wlc5Vk0CoUsaCY84M,JENNIE,['k-pop'],https://open.spotify.com/artist/250b0Wlc5Vk0CoUsaCY84M,https://i.scdn.co/image/ab6761610000e5ebc2c8185fc0902b43e35f671f,63,3420368
7zYj9S9SdIunYCfSm7vzAR,JEON SOMI,['k-pop'],https://open.spotify.com/artist/7zYj9S9SdIunYCfSm7vzAR,https://i.scdn.co/image/ab6761610000e5eb2be8611f6c6e9174031c64df,60,1890474
72nLe76yBFSlP6VBzME358,SHAUN,['k-pop'],https://open.spotify.com/artist/72nLe76yBFSlP6VBzME358,https://i.scdn.co/image/ab6761610000e5eb61f2c97935a963ff7d2cc34b,60,359134
1wKpMkucynaTfG8lyPprYV,PENTAGON,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/1wKpMkucynaTfG8lyPprYV,https://i.scdn.co/image/ab6761610000e5eb7fd277fc83d7670dadb45790,56,2136392
1l0mKo96Jh9HVYONcRl3Yp,2NE1,"['dance pop', 'k-pop', 'k-pop girl group']",https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp,https://i.scdn.co/image/ab6761610000e5eb20e1b84fe2767e52c4c828fd,59,2404707
48eO052eSDcn8aTxiv6QaG,NCT,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/48eO052eSDcn8aTxiv6QaG,https://i.scdn.co/image/ab6761610000e5eb66701ca609176d8fd4a9c4a0,56,5823930
62T5PGHWJ9sxP2SJq20IHq,PURPLE KISS,['k-pop'],https://open.spotify.com/artist/62T5PGHWJ9sxP2SJq20IHq,https://i.scdn.co/image/ab6761610000e5eb83962d7c7c639d9d5c38a0e1,54,341581
2hcsKca6hCfFMwwdbFvenJ,BTOB,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/2hcsKca6hCfFMwwdbFvenJ,https://i.scdn.co/image/ab6761610000e5eb09336dcd62a6e91e49e0a0f4,59,1479362
6uNxlIP5lzPFf0BHuELOuX,GOT the beat,['k-pop'],https://open.spotify.com/artist/6uNxlIP5lzPFf0BHuELOuX,https://i.scdn.co/image/ab6761610000e5eb03fd839c09fe375026192645,57,569292
5BHFSMEjfLVx1JwRWjAOsE,SuperM,['k-pop'],https://open.spotify.com/artist/5BHFSMEjfLVx1JwRWjAOsE,https://i.scdn.co/image/ab6761610000e5eb8d69367047a24d20b0323ff7,55,2007913
6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/6gzXCdfYfFe5XKhPKkYqxV,https://i.scdn.co/image/ab6761610000e5ebe9996e5d7c5b769b2b26ff1a,59,2376016
2uWcrwgWmZcQc3IPBs3tfU,Apink,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/2uWcrwgWmZcQc3IPBs3tfU,https://i.scdn.co/image/ab6761610000e5eb5d7e6f087811f89d7c8f0706,55,1198709
3wRA5UYoo08BBKJnzyKkpF,f(x),"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/3wRA5UYoo08BBKJnzyKkpF,https://i.scdn.co/image/ab6761610000e5ebe0cc2045ff4e90d12df91cc3,52,1272696
3uGFTJ7JMllvhgGpumieHF,AILEE,['k-pop'],https://open.spotify.com/artist/3uGFTJ7JMllvhgGpumieHF,https://i.scdn.co/image/ab6761610000e5eb8aec4284aed8bb502a411043,57,1097564
4muJrGMndyYWqZtfk8OWy4,BoA,['k-pop'],https://open.spotify.com/artist/4muJrGMndyYWqZtfk8OWy4,https://i.scdn.co/image/ab6761610000e5eb1b86652b4761cbc4d3bc791f,54,802308
5DuzBeOgFwViFcv00Q5PFb,WINNER,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/5DuzBeOgFwViFcv00Q5PFb,https://i.scdn.co/image/ab6761610000e5eb9c4acb1897759452c0ed82d9,55,2510405
2019zR22qK2RBvCqtudBaI,OH MY GIRL,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/2019zR22qK2RBvCqtudBaI,https://i.scdn.co/image/ab6761610000e5eb9954a1ab45b2404a7bff2a45,54,1691812
6OwKE9Ez6ALxpTaKcT5ayv,AKMU,['k-pop'],https://open.spotify.com/artist/6OwKE9Ez6ALxpTaKcT5ayv,https://i.scdn.co/image/ab6761610000e5eb74700cf88c04af5201df7298,57,1302237
1sjw4xq2pAWy5Vdgba5QAt,HENRY,['k-pop'],https://open.spotify.com/artist/1sjw4xq2pAWy5Vdgba5QAt,https://i.scdn.co/image/ab6761610000e5eb08c37d8877454a98b081fefe,55,485700
3UwlejyX2b458azZ7eCnHb,HyunA,['k-pop'],https://open.spotify.com/artist/3UwlejyX2b458azZ7eCnHb,https://i.scdn.co/image/ab6761610000e5ebd7f4b9b294a630d27f0c4d81,54,2204266
0iQGSzpJ0G0lsugv8jsJHd,OnlyOneOf,"['k-pop', 'k-pop boy group']",https://open.spotify.com/artist/0iQGSzpJ0G0lsugv8jsJHd,https://i.scdn.co/image/ab6761610000e5eb0fe4c2a6bc39969b4b8dbe1d,48,328235
1mORehSVEd7lcaT2d7Sl2K,SURAN,"['k-pop', 'korean r&b']",https://open.spotify.com/artist/1mORehSVEd7lcaT2d7Sl2K,https://i.scdn.co/image/ab6761610000e5eb65dd718aaa2c9b1be0218f76,54,1074738
6hhqsQZhtp9hfaZhSd0VSD,WJSN,"['k-pop', 'k-pop girl group']",https://open.spotify.com/artist/6hhqsQZhtp9hfaZhSd0VSD,https://i.scdn.co/image/ab6761610000e5ebf8786ccb6031a3266bb15606,52,847621
2CQZr2RPZmrcvDnaod1ldC,D.O.,['k-pop'],https://open.spotify.com/artist/2CQZr2RPZmrcvDnaod1ldC,https://i.scdn.co/image/ab6761610000e5eb618eb314202aeec390a5c435,58,1668509
3NdOtTPPaXrCyC7Lpmzyhv,Tablo,"['k-pop', 'k-rap', 'korean r&b']",https://open.spotify.com/artist/3NdOtTPPaXrCyC7Lpmzyhv,https://i.scdn.co/image/ab6761610000e5eb2ae0c418642876b7342964e8,52,228465
1Do4bSzfUl0KWL9r1fITu0,Yoon Mirae,"['k-pop', 'korean ost', 'korean pop', 'korean r&b']",https://open.spotify.com/artist/1Do4bSzfUl0KWL9r1fITu0,https://i.scdn.co/image/ab6761610000e5eb1787f6596afa03df2d44af87,55,282092
4RnezwRV7VBJUCI1S0AE5u,Block B,"['k-pop', 'k-pop boy group', 'korean r&b']",https://open.spotify.com/artist/4RnezwRV7VBJUCI1S0AE5u,https://i.scdn.co/image/ab6761610000e5ebebb34ddba4e4ef87dbb92728,51,1000273
3ytV7vc4ZuwGgwaOuWvkk8,MINO,['k-pop'],https://open.spotify.com/artist/3ytV7vc4ZuwGgwaOuWvkk8,https://i.scdn.co/image/ab6761610000e5ebbaab1c0bd5243ff2557dd0f2,53,1085634
6Xg22wJOAcnvPUfk5WvODH,JEON SOYEON,['k-pop'],https://open.spotify.com/artist/6Xg22wJOAcnvPUfk5WvODH,https://i.scdn.co/image/ab6761610000e5ebadffb99dc62d070da29306ff,53,970348
