id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7oDd86yk8itslrA9HRP2ki,7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,6Exo0MYoL3XammoTDeihFy,1,0.232,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,0.531,232857,0.525,0,0.441,-6.5,0,0.0671,66.9,4,0.502
4uUG5RXrOk84mYEfFvj3cK,4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,7M842DMhYVALrXsw3ty7B3,1,0.00383,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,0.561,175238,0.965,7.07e-06,0.371,-3.673,0,0.0343,128.04,4,0.304
1vvcEHQdaUTvWt0EIUYcFK,1vvcEHQdaUTvWt0EIUYcFK,https://api.spotify.com/v1/tracks/1vvcEHQdaUTvWt0EIUYcFK,https://open.spotify.com/track/1vvcEHQdaUTvWt0EIUYcFK,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,3hPyxRi49jls3gU6Si8JdF,2,0.129,https://api.spotify.com/v1/audio-analysis/1vvcEHQdaUTvWt0EIUYcFK,0.715,175802,0.681,0,0.152,-4.25,0,0.113,84.924,4,0.277
5zwwW9Oq7ubSxoCGyW1nbY,5zwwW9Oq7ubSxoCGyW1nbY,https://api.spotify.com/v1/tracks/5zwwW9Oq7ubSxoCGyW1nbY,https://open.spotify.com/track/5zwwW9Oq7ubSxoCGyW1nbY,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,0kbZ4ZNRs76sSFeGUEErFM,1,0.0145,https://api.spotify.com/v1/audio-analysis/5zwwW9Oq7ubSxoCGyW1nbY,0.693,186964,0.734,0,0.217,-6.189,1,0.202,180.06,4,0.708
7KokYm8cMIXCsGVmUvKtqf,7KokYm8cMIXCsGVmUvKtqf,https://api.spotify.com/v1/tracks/7KokYm8cMIXCsGVmUvKtqf,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf,06HL4z0CvFAxyc27GXpf02,Taylor Swift,151w1FgRZfnKZA9FEcg9Z3,11,0.0734,https://api.spotify.com/v1/audio-analysis/7KokYm8cMIXCsGVmUvKtqf,0.642,204852,0.62,0,0.483,-7.091,1,0.0666,90.02,4,0.0969
6Xom58OOXk2SoU711L2IXO,6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/tracks/6Xom58OOXk2SoU711L2IXO,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,1,0.294,https://api.spotify.com/v1/audio-analysis/6Xom58OOXk2SoU711L2IXO,0.804,245940,0.674,1.18e-06,0.115,-5.453,0,0.0333,99.968,4,0.292
0skYUMpS0AcbpjcGsAbRGj,0skYUMpS0AcbpjcGsAbRGj,https://api.spotify.com/v1/tracks/0skYUMpS0AcbpjcGsAbRGj,https://open.spotify.com/track/0skYUMpS0AcbpjcGsAbRGj,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,3dZBZnDa3z20uEVnxR38M1,1,0.0202,https://api.spotify.com/v1/audio-analysis/0skYUMpS0AcbpjcGsAbRGj,0.798,186964,0.697,0,0.259,-7.139,1,0.0891,90.031,4,0.745
5zyZM1EiSqrniyqtprwxpv,5zyZM1EiSqrniyqtprwxpv,https://api.spotify.com/v1/tracks/5zyZM1EiSqrniyqtprwxpv,https://open.spotify.com/track/5zyZM1EiSqrniyqtprwxpv,3TVXtAsR1Inumwj472S9r4,Drake,2hicq6IKmDsPxZV7fJablX,2,0.238,https://api.spotify.com/v1/audio-analysis/5zyZM1EiSqrniyqtprwxpv,0.718,266179,0.758,0.00653,0.11,-8.29,1,0.0703,118.989,4,0.349
1IHWl5LamUGEuP4ozKQSXZ,1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,4,0.0993,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,0.65,243717,0.715,0.000291,0.126,-5.198,0,0.253,106.672,4,0.187
2mpoNBkngUEwnaKoBhZ0vl,2mpoNBkngUEwnaKoBhZ0vl,https://api.spotify.com/v1/tracks/2mpoNBkngUEwnaKoBhZ0vl,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,2OXBosbXT7Qs3J6vBd6IkI,1,0.0965,https://api.spotify.com/v1/audio-analysis/2mpoNBkngUEwnaKoBhZ0vl,0.784,184066,0.826,7.09e-05,0.123,-6.34,0,0.0538,138.078,3,0.893
3qCeq0rWK67SoBDgFd2sId,3qCeq0rWK67SoBDgFd2sId,https://api.spotify.com/v1/tracks/3qCeq0rWK67SoBDgFd2sId,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId,7K78lVZ8XzkjfRSI7570FF,José Feliciano,6leYmQzvQjlUtmpNIL9XYQ,14,0.406,https://api.spotify.com/v1/audio-analysis/3qCeq0rWK67SoBDgFd2sId,0.514,182307,0.818,1.93e-06,0.299,-9.642,1,0.0451,148.733,4,0.967
4Dvkj6JhhA12EX05fT7y2e,4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5r36AJ6VOJtp00oxSkBZ5h,4,0.342,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,0.52,167303,0.731,0.00101,0.311,-5.338,0,0.0557,173.93,4,0.662
2UW7JaomAMuX9pZrjVpHAU,2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/tracks/2UW7JaomAMuX9pZrjVpHAU,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU,1NNRWkhwmcXRimFYSBpB1y,Yng Lvcas,6aBVGuOUEuX18rHxyDWbti,1,0.213,https://api.spotify.com/v1/audio-analysis/2UW7JaomAMuX9pZrjVpHAU,0.812,234353,0.479,1.21e-06,0.0756,-5.678,0,0.333,169.922,4,0.559
0bYg9bo50gSsH3LtXe2SQn,0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,61ulfFSmmxMhc2wCdmdMkN,2,0.164,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,0.336,241107,0.627,0,0.0708,-7.463,1,0.0384,150.273,4,0.35
75FEaRjZTKLhTrFGsfMUXR,75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,5BWl0bB1q0TqyFmkBEupZy,1,0.72,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,0.629,298933,0.547,0.00314,0.0604,-13.123,0,0.055,108.375,4,0.197
0NZPBYD5qbEWRs3PrGiRkT,0NZPBYD5qbEWRs3PrGiRkT,https://api.spotify.com/v1/tracks/0NZPBYD5qbEWRs3PrGiRkT,https://open.spotify.com/track/0NZPBYD5qbEWRs3PrGiRkT,2wY79sveU1sp5g7SokKOiI,Sam Smith,3Uq1jNGnD412ZvCb6j2DKV,6,0.011,https://api.spotify.com/v1/audio-analysis/0NZPBYD5qbEWRs3PrGiRkT,0.712,156943,0.463,2.96e-06,0.301,-7.399,1,0.0797,131.199,4,0.206
02MWAaffLxlfxAUY7c5dvx,02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,0KTj6k94XZh0c6IEMfxeWV,14,0.44,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,0.761,238805,0.525,6.7e-06,0.0921,-6.9,1,0.0944,80.87,4,0.531
0lizgQ7Qw35od7CYaoMBZb,0lizgQ7Qw35od7CYaoMBZb,https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,27MNgBEnLCKoafz1g2Zu97,1,0.0489,https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb,0.525,204093,0.621,0,0.294,-7.364,1,0.116,191.9,4,0.591
1odExI7RdWc4BT515LTAwj,1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,33NVpKoXjItPwUJTMZIOiY,David Kushner,6NcI39WPu4kY6Tul11nhSv,1,0.83,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,0.508,212954,0.43,0.000441,0.093,-9.475,0,0.0335,130.09,4,0.324
4W4fNrZYkobj539TOWsLO2,4W4fNrZYkobj539TOWsLO2,https://api.spotify.com/v1/tracks/4W4fNrZYkobj539TOWsLO2,https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,35dut3ICqF3NEDkjxfzJJ1,19,0.227,https://api.spotify.com/v1/audio-analysis/4W4fNrZYkobj539TOWsLO2,0.575,232857,0.5,0,0.335,-7.594,0,0.0707,67.033,4,0.506
0yLdNVWF3Srea0uzk55zFn,0yLdNVWF3Srea0uzk55zFn,https://api.spotify.com/v1/tracks/0yLdNVWF3Srea0uzk55zFn,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,7I0tjwFtxUwBC1vgyeMAax,1,0.0632,https://api.spotify.com/v1/audio-analysis/0yLdNVWF3Srea0uzk55zFn,0.707,200455,0.681,5.15e-06,0.0322,-4.325,1,0.0668,117.999,4,0.646
2tTmW7RDtMQtBk7m2rYeSw,2tTmW7RDtMQtBk7m2rYeSw,https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,716NhGYqD1jl2wI1Qkgq36,Bizarrap,4PNqWiJAfjj32hVvlchV5u,1,0.0125,https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw,0.621,198938,0.782,0.033,0.23,-5.548,1,0.044,128.033,4,0.55
4k6Uh1HXdhtusDW5y8Gbvy,4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy,57vWImR43h4CaDao012Ofp,Steve Lacy,3Ks0eeH0GWpY4AU20D5HPD,5,0.613,https://api.spotify.com/v1/audio-analysis/4k6Uh1HXdhtusDW5y8Gbvy,0.686,232067,0.494,5.8e-05,0.402,-7.093,1,0.0355,168.946,4,0.7
0V3wPSX9ygBnCm8psDIegu,0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,06HL4z0CvFAxyc27GXpf02,Taylor Swift,151w1FgRZfnKZA9FEcg9Z3,3,0.13,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,0.637,200690,0.643,1.8e-06,0.142,-6.571,1,0.0519,97.008,4,0.533
1qEmFfgcLObUfQm0j1W2CK,1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5r36AJ6VOJtp00oxSkBZ5h,2,0.298,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,0.714,177955,0.728,0,0.106,-4.595,1,0.0468,114.996,4,0.901
7vQbuQcyTflfCIOu3Uzzya,7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/tracks/7vQbuQcyTflfCIOu3Uzzya,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,38EmEgXkgK51MT2tPY0EoC,Bobby Helms,3wivyOdotHWZ9dcuXMjPKT,1,0.643,https://api.spotify.com/v1/audio-analysis/7vQbuQcyTflfCIOu3Uzzya,0.754,130973,0.424,0,0.0652,-8.463,1,0.0363,119.705,4,0.806
3nqQXoyQOWXiESFLlDF1hG,3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,2wY79sveU1sp5g7SokKOiI,Sam Smith,0gX9tkL5njRax8ymWcXARi,1,0.013,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,0.714,156943,0.472,4.51e-06,0.266,-7.375,1,0.0864,131.121,4,0.238
7dSZ6zGTQx66c2GF91xCrb,7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/tracks/7dSZ6zGTQx66c2GF91xCrb,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb,790FomKkXshlbRYZFtlgla,KAROL G,1wLB2bnCl2m5m9M9g8r93Y,1,0.656,https://api.spotify.com/v1/audio-analysis/7dSZ6zGTQx66c2GF91xCrb,0.87,210200,0.516,0.00823,0.11,-8.006,1,0.0541,111.005,4,0.53
5mHdCZtVyb4DcJw8799hZp,5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/tracks/5mHdCZtVyb4DcJw8799hZp,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp,5KKpBU5eC2tJDzf0wmlRp2,RAYE,3U8n8LzBx2o9gYXvvNq4uH,5,0.138,https://api.spotify.com/v1/audio-analysis/5mHdCZtVyb4DcJw8799hZp,0.538,272373,0.742,4.67e-05,0.0934,-5.355,1,0.114,96.107,4,0.25
2uFaJJtFpPDc5Pa95XzTvg,2uFaJJtFpPDc5Pa95XzTvg,https://api.spotify.com/v1/tracks/2uFaJJtFpPDc5Pa95XzTvg,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,49e4v89VmlDcFCMyDv9wQ9,Dean Martin,5I48ENiZiaZZSOpec6PdS5,2,0.912,https://api.spotify.com/v1/audio-analysis/2uFaJJtFpPDc5Pa95XzTvg,0.451,117147,0.24,2.45e-06,0.175,-14.014,1,0.0351,134.009,4,0.701
