id,name,track_href,external_url,artist_id,artist_name,album_id,track_number,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4BaNhDZQSujIgRzSldzUCf,Back In Vogue - Instrumental,https://api.spotify.com/v1/tracks/4BaNhDZQSujIgRzSldzUCf,https://open.spotify.com/track/4BaNhDZQSujIgRzSldzUCf,4jCGRzuZkwo8CxboiANMEU,AleXa,5F04HHbpsoYm9DYXJsjZQD,6,0.000973,https://api.spotify.com/v1/audio-analysis/4BaNhDZQSujIgRzSldzUCf,0.671,173653,0.522,0.774,0.259,-5.173,1,0.168,179.922,4,0.306
5siTrkr1YLJDHYYj67KhlK,Midnight Sun,https://api.spotify.com/v1/tracks/5siTrkr1YLJDHYYj67KhlK,https://open.spotify.com/track/5siTrkr1YLJDHYYj67KhlK,4jCGRzuZkwo8CxboiANMEU,AleXa,3Ilh5wp7VRAvL9cxE0uC0f,1,0.547,https://api.spotify.com/v1/audio-analysis/5siTrkr1YLJDHYYj67KhlK,0.497,260173,0.547,0,0.107,-3.665,0,0.03,130.0,4,0.153
7s1zPcIpm1z70ZfCZIQeyD,Midnight Sun (inst.),https://api.spotify.com/v1/tracks/7s1zPcIpm1z70ZfCZIQeyD,https://open.spotify.com/track/7s1zPcIpm1z70ZfCZIQeyD,4jCGRzuZkwo8CxboiANMEU,AleXa,3Ilh5wp7VRAvL9cxE0uC0f,2,0.0135,https://api.spotify.com/v1/audio-analysis/7s1zPcIpm1z70ZfCZIQeyD,0.493,260173,0.589,0.94,0.107,-7.531,0,0.0269,129.984,4,0.0717
19Zw3ce991p1fudpVkh4BN,Wonderland (Korean Version),https://api.spotify.com/v1/tracks/19Zw3ce991p1fudpVkh4BN,https://open.spotify.com/track/19Zw3ce991p1fudpVkh4BN,4jCGRzuZkwo8CxboiANMEU,AleXa,5KNF8Gjiha5amJXLPvoBBV,1,0.0988,https://api.spotify.com/v1/audio-analysis/19Zw3ce991p1fudpVkh4BN,0.662,164570,0.92,0,0.0864,-2.144,0,0.0375,99.947,4,0.609
6EeaEk8UGxcqRNYCzQjY4d,Wonderland (From “American Song Contest”),https://api.spotify.com/v1/tracks/6EeaEk8UGxcqRNYCzQjY4d,https://open.spotify.com/track/6EeaEk8UGxcqRNYCzQjY4d,4jCGRzuZkwo8CxboiANMEU,AleXa,5KNF8Gjiha5amJXLPvoBBV,2,0.137,https://api.spotify.com/v1/audio-analysis/6EeaEk8UGxcqRNYCzQjY4d,0.661,164723,0.935,0,0.185,-2.217,0,0.0369,99.978,4,0.605
5TxWhZyLLbV8WD4OsayA3p,Wonderland (Nevada Remix),https://api.spotify.com/v1/tracks/5TxWhZyLLbV8WD4OsayA3p,https://open.spotify.com/track/5TxWhZyLLbV8WD4OsayA3p,4jCGRzuZkwo8CxboiANMEU,AleXa,6A11FLXgbiGE1bcCi90UGN,1,0.0924,https://api.spotify.com/v1/audio-analysis/5TxWhZyLLbV8WD4OsayA3p,0.692,182540,0.891,0,0.34,-5.37,0,0.0525,109.951,4,0.389
2KwiwIh85W6Sz6CvO8xt7b,Wonderland (From “American Song Contest”),https://api.spotify.com/v1/tracks/2KwiwIh85W6Sz6CvO8xt7b,https://open.spotify.com/track/2KwiwIh85W6Sz6CvO8xt7b,4jCGRzuZkwo8CxboiANMEU,AleXa,6A11FLXgbiGE1bcCi90UGN,2,0.137,https://api.spotify.com/v1/audio-analysis/2KwiwIh85W6Sz6CvO8xt7b,0.661,164723,0.935,0,0.185,-2.217,0,0.0369,99.978,4,0.605
6ruLpeKbdeRV3T19a1r3np,Wonderland (Stripped),https://api.spotify.com/v1/tracks/6ruLpeKbdeRV3T19a1r3np,https://open.spotify.com/track/6ruLpeKbdeRV3T19a1r3np,4jCGRzuZkwo8CxboiANMEU,AleXa,01SeKtS5m39kodVsOjVP5r,1,0.372,https://api.spotify.com/v1/audio-analysis/6ruLpeKbdeRV3T19a1r3np,0.555,153696,0.659,0,0.125,-5.743,0,0.0677,199.689,4,0.479
26pmmHQFUuEAU6awnG3Nop,Wonderland (From “American Song Contest”),https://api.spotify.com/v1/tracks/26pmmHQFUuEAU6awnG3Nop,https://open.spotify.com/track/26pmmHQFUuEAU6awnG3Nop,4jCGRzuZkwo8CxboiANMEU,AleXa,01SeKtS5m39kodVsOjVP5r,2,0.137,https://api.spotify.com/v1/audio-analysis/26pmmHQFUuEAU6awnG3Nop,0.661,164723,0.935,0,0.185,-2.217,0,0.0369,99.978,4,0.605
12gIiC7uS9fvSVTvu66YDO,Wonderland (From “American Song Contest”),https://api.spotify.com/v1/tracks/12gIiC7uS9fvSVTvu66YDO,https://open.spotify.com/track/12gIiC7uS9fvSVTvu66YDO,4jCGRzuZkwo8CxboiANMEU,AleXa,1KxiHSk6DOOL1C24ijw9m0,1,0.137,https://api.spotify.com/v1/audio-analysis/12gIiC7uS9fvSVTvu66YDO,0.661,164723,0.935,0,0.185,-2.217,0,0.0369,99.978,4,0.605
